[2025-11-22 14:55:29,124][conftest.py:10][INFO]: 啟動 Twitch 手機版瀏覽器
[2025-11-22 14:55:30,154][conftest.py:13][INFO]: 開啟 Twitch: https://www.twitch.tv/
[2025-11-22 14:55:32,155][test_twitch_wap.py:22][INFO]: 點擊底部『瀏覽』(Browse) 按鈕
[2025-11-22 14:55:34,496][test_twitch_wap.py:35][INFO]: 尋找搜尋輸入框
[2025-11-22 14:55:44,725][test_twitch_wap.py:51][INFO]: 嘗試點擊搜尋按鈕（icon）
[2025-11-22 14:55:45,255][test_twitch_wap.py:63][INFO]: 搜尋按鈕不存在，改用 ENTER
[2025-11-22 14:55:45,273][test_twitch_wap.py:71][INFO]: 等待搜尋結果頁面載入（包含 頂端/頻道/分類/影片 tab）
[2025-11-22 14:55:45,857][test_twitch_wap.py:79][INFO]: 切換到『影片』tab
[2025-11-22 14:55:48,971][test_twitch_wap.py:89][INFO]: 在『影片』tab 中捲動搜尋結果兩次
[2025-11-22 14:55:56,393][test_twitch_wap.py:94][INFO]: 取得目前 viewport 中第一個完整影片元素並點擊
[2025-11-22 14:55:56,405][test_twitch_wap.py:98][INFO]: 準備點擊的影片連結: https://m.twitch.tv/videos/2624113421
[2025-11-22 14:56:06,504][test_twitch_wap.py:104][INFO]: 實況主影片頁面載入完成，截圖 twitch_streamer.png
[2025-11-22 14:56:06,658][conftest.py:19][INFO]: 關閉瀏覽器
